ID,species_code,family,genus,species,scientific_name,scientific_code,native-range,5E-1,5E-3,5E-4,5E-5,5E-6,5E-7,5E-8,5E-9,5E-10,5E-11,5E-13,6E-7,6E-8,6E-9,6E-10,6E-11,6E-12,6E-13,6E-14,6E-15,6E-16,6E-17,7E-1,7E-2,7E-3,7E-4,7E-5,7E-6
1,aldeur,Betulaceae,Alder,European Alder,Alnus glutinosa,alnuglut,"Europe, North Africa, Western Asia, Siberia",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
2,aldspe,Betulaceae,Alder,Speckled Alder,Alnus rugosa,alnurugo,"Canada, Northern U.S.A",native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,introduced,native,native,native,native,native
4,aldwhi,Betulaceae,Alder,European White Alder,Alnus incana,alnuinca,"Europe, Caucasus",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
318,amumak,Fabaceae,Maakia,Amur Maackia,Maackia amurensis,maacamur,Asia,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
6,appcom,Rosaceae,Apple,Common Apple,Malus domestica,maludome,Europe and Western Asia,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
7,appcra,Rosaceae,Apple/Crabapple,Crabapple,Malus hybrids,maluhybr,Various,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
282,aprico,Rosaceae,Apricot,Apricot,Prunus armeniaca,prunarme,Europe,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
9,ashbla,Oleaceae,Ash,Black Ash,Fraxinus nigra,fraxnigr,"Southeastern Ontario, Northeastern USA",native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
10,ashblu,Oleaceae,Ash,Blue Ash,Fraxinus quadrangulata,fraxquad,"Michigan, Arkansas, Tennessee",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,introduced,introduced,introduced,introduced,introduced
11,asheur,Oleaceae,Ash,Europen Ash,Fraxinus excelsior,fraxexce,"Europe, SW Asia",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
12,ashgre,Oleaceae,Ash,Green Ash,Fraxinus pennsylvanica,fraxpenn,Great Lakes-St. Lawrence and Acadian Forest region and the South-Western prairies,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
13,ashman,Oleaceae,Ash,Manchurian Ash,Fraxinus mandshurica,fraxmand,,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
15,ashwhi,Oleaceae,Ash,White Ash,Fraxinus americana,fraxamer,North-East US,native,native,native,native,native,native,native,native,native,native,introduced,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
16,asplar,Salicaceae,Poplar,Largetooth Aspen,Populus grandidentata,popugran,"Quebec to Ontario, Eastern United States",native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
17,asptre,Salicaceae,Poplar,Trembling Aspen,Populus tremuloides,poputrem,North America: Across Canada and Southern US,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
18,basswo,Tiliaceae,Linden-Basswood,Basswood,Tilia americana,tiliamer,Eastern North America,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
19,beeame,Fagaceae,Beech,American Beech,Fagus grandifolia,fagugran,Eastern North America,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
20,beeblu,Betulaceae,Ironwood-Hornbeam,Blue Beech,Carpinus caroliniana,carpcaro,Eastern U.S.A.,introduced,introduced,introduced,introduced,introduced,native,native,native,native,native,introduced,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
21,beeeur,Fagaceae,Beech,European Beech,Fagus sylvatica,fagusylv,Europe,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
312,birala,Betulaceae,Birch,Alaskan Birch,Betula neoalaskana,betuneoa,North America: Across Canada,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
23,birche,Betulaceae,Birch,Cherry Birch,Betula lenta,betulent,Eastern U.S.A.,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,introduced,native,introduced
24,bireur,Betulaceae,Birch,European White Birch,Betula pendula,betupend,"Europe, SW Asia, N. Africa",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
25,birgra,Betulaceae,Birch,Gray Birch,Betula populifolia,betupopu,SE Canada,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,native,native,native,introduced,introduced,native,native,introduced,introduced,introduced,introduced,native,introduced,introduced
26,birhim,Betulaceae,Birch,Whitebarked Himalayan,Betula  jacquemontii,betujacq,"NW Himalayas, Nepal",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
27,birriv,Betulaceae,Birch,River Birch,Betula occidentalis,betuocci,,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
29,birwhi,Betulaceae,Birch,White Birch,Betula papyrifera,betupapy,North America: Across Canada,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,introduced,native,native,native,native,native
30,biryel,Betulaceae,Birch,Yellow Birch,Betula alleghaniensis,betualle,"SE Canada, NE U.S.A.",native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
31,buceur,Rhamnaceae,Buckthorn,Alder Buckthorn,Rhamnus cathartica,rhamcath,"Europe, Western and Northern Asia",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
32,bucohi,Hippocastanaceae,Buckeye/Horsechestnut,Ohio Buckeye,Aesculus glabra,aescglab,"Southern Tip of Ontario, USA",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
