ID,species_code,family,genus,species,scientific_name,native,invasivity,seRegion,Max DBH,diversity_level,persistence,native-range,form,species_rating,shade_factor
1,aldeur,Betulaceae,Alder,European Alder,Alnus glutinosa,no,invasive,introduced,30,species,decidous,"Europe, North Africa, Western Asia, Siberia",T,0.6,0.79
4,aldwhi,Betulaceae,Alder,European White Alder,Alnus incana,no,non-invasive,introduced,,species,decidous,"Europe, Caucasus",T,0.6,0.79
2,aldspe,Betulaceae,Alder,Speckled Alder,Alnus rugosa,yes,non-invasive,native,12,species,decidous,"Canada, Northern U.S.A",T,0.6,0.79
3,aldspp,Betulaceae,Alder,Alder species,Alnus spp,n/a,n/a,n/a,,genus,decidous,,T,,0.79
6,appcom,Rosaceae,Apple,Common Apple,Malus domestica,no,non-invasive,introduced,,species,decidous,Europe and Western Asia,T,,
8,appspp,Rosaceae,Apple,Apple species,Malus spp,n/a,n/a,n/a,45,genus,decidous,,T,,
65,crawil,Rosaceae,Apple/Crabapple,Wild Crab,Malus coronaria,yes,non-invasive,introduced,,species,decidous,"Southern Ontario, Eastern U.S.A.",T,0.5,0.85
7,appcra,Rosaceae,Apple/Crabapple,Crabapple,Malus hybrids,n/a,non-invasive,introduced,30,species,decidous,Various,T,0.5,0.85
64,crajap,Rosaceae,Apple/Crabapple,Japanese Crabapple(s),Malus x floribunda,no,non-invasive,introduced,30,species,decidous,,T,0.5,0.85
282,aprico,Rosaceae,Apricot,Apricot,Prunus armeniaca,no,non-invasive,introduced,50,species,decidous,Europe,T,,
15,ashwhi,Oleaceae,Ash,White Ash,Fraxinus americana,yes,non-invasive,native,45,species,decidous,North-East US,T,0.72,0.84
11,asheur,Oleaceae,Ash,Europen Ash,Fraxinus excelsior,no,non-invasive,introduced,50,species,decidous,"Europe, SW Asia",T,0.6,0.85
13,ashman,Oleaceae,Ash,Manchurian Ash,Fraxinus mandshurica,no,non-invasive,introduced,,species,decidous,,T,0.5,0.84
9,ashbla,Oleaceae,Ash,Black Ash,Fraxinus nigra,yes,non-invasive,native,20,species,decidous,"Southeastern Ontario, Northeastern USA",T,0.57,0.84
12,ashgre,Oleaceae,Ash,Green Ash,Fraxinus pennsylvanica,yes,non-invasive,native,,species,decidous,Great Lakes-St. Lawrence and Acadian Forest region and the South-Western prairies,T,0.67,0.83
10,ashblu,Oleaceae,Ash,Blue Ash,Fraxinus quadrangulata,no,non-invasive,introduced,90,species,decidous,"Michigan, Arkansas, Tennessee",T,0.6,0.84
14,ashspp,Oleaceae,Ash,Ash species,Fraxinus spp,n/a,n/a,n/a,75,genus,decidous,,T,,0.84
19,beeame,Fagaceae,Beech,American Beech,Fagus grandifolia,yes,non-invasive,native,45,species,decidous,Eastern North America,T,0.7,0.88
22,beespp,Fagaceae,Beech,Beech species,Fagus spp,n/a,n/a,n/a,80,genus,decidous,,T,,0.88
21,beeeur,Fagaceae,Beech,European Beech,Fagus sylvatica,no,non-invasive,introduced,60,species,decidous,Europe,T,0.83,0.88
26,birhim,Betulaceae,Birch,Whitebarked Himalayan,Betula  jacquemontii,no,non-invasive,introduced,,species,decidous,"NW Himalayas, Nepal",T,0.55,0.82
30,biryel,Betulaceae,Birch,Yellow Birch,Betula alleghaniensis,yes,non-invasive,native,25,species,decidous,"SE Canada, NE U.S.A.",T,0.64,0.82
23,birche,Betulaceae,Birch,Cherry Birch,Betula lenta,yes,non-invasive,introduced,100,species,decidous,Eastern U.S.A.,T,0.55,0.82
312,birala,Betulaceae,Birch,Alaskan Birch,Betula neoalaskana,no,non-invasive,introduced,15,species,decidous,North America: Across Canada,T,,0.82
27,birriv,Betulaceae,Birch,River Birch,Betula occidentalis,no,non-invasive,introduced,30,species,decidous,,T,0.7,0.82
29,birwhi,Betulaceae,Birch,White Birch,Betula papyrifera,yes,non-invasive,native,20,species,decidous,North America: Across Canada,T,0.5,0.82
24,bireur,Betulaceae,Birch,European White Birch,Betula pendula,no,invasive,introduced,,species,decidous,"Europe, SW Asia, N. Africa",T,0.5,0.82
25,birgra,Betulaceae,Birch,Gray Birch,Betula populifolia,yes,non-invasive,native,15,species,decidous,SE Canada,T,0.55,0.82
28,birspp,Betulaceae,Birch,Birch species,Betula spp,n/a,n/a,n/a,15,genus,decidous,,T,,0.82
142,locbla,Fabaceae,Black Locust,Black Locust,Robinia pseudoacacia,no,invasive,introduced,,species,decidous,Eastern US,T,0.56,0.79
319,bucyel,Hippocastanaceae,Buckeye/Horsechestnut,Yellow Buckeye,Aesculus flava,no,non-invasive,introduced,,species,decidous,Eastern USA,T,0.65,0.88
32,bucohi,Hippocastanaceae,Buckeye/Horsechestnut,Ohio Buckeye,Aesculus glabra,yes,non-invasive,introduced,45,species,decidous,"Southern Tip of Ontario, USA",T,0.65,0.88
119,horcom,Hippocastanaceae,Buckeye/Horsechestnut,Common Horsechestnut,Aesculus hippocastanum,no,non-invasive,introduced,60,species,decidous,Balkan Peninsula in Southeastern Europe,T,0.63,0.88
35,bucswe,Hippocastanaceae,Buckeye/Horsechestnut,Sweet Buckeye,Aesculus octandra,no,non-invasive,introduced,15,species,decidous,"Pennsylvania to Tennessee and norhtern Georgia, west to Ohio and Illinois",T,0.65,0.88
33,bucred,Hippocastanaceae,Buckeye/Horsechestnut,Red Buckeye,Aesculus pavia,no,non-invasive,introduced,80,species,decidous,Southeastern USA,T,0.65,0.88
121,horred,Hippocastanaceae,Buckeye/Horsechestnut,Red Horsechestnut,Aesculus x carnea,no,non-invasive,introduced,,species,decidous,Hybrid origin,T,0.65,0.88
320,buhspp,Hippocastanaceae,Buckeye/Horsechestnut,Buckeye spp,Aesulus spp,n/a,n/a,n/a,,genus,decidous,,T,,
