ID,species_code,family,genus,species,scientific_name,scientific_code,native,invasivity,seRegion,Max DBH,diversity_level,persistence,native-range,form,species_rating,shade_factor
1,aldeur,Betulaceae,Alder,European Alder,Alnus glutinosa,alnuglut,no,invasive,introduced,30,species,decidous,"Europe, North Africa, Western Asia, Siberia",T,0.6,0.79
2,aldspe,Betulaceae,Alder,Speckled Alder,Alnus rugosa,alnurugo,yes,non-invasive,native,12,species,decidous,"Canada, Northern U.S.A",T,0.6,0.79
3,aldspp,Betulaceae,Alder,Alder species,Alnus spp,alnuspp,n/a,n/a,n/a,,genus,decidous,,T,,0.79
4,aldwhi,Betulaceae,Alder,European White Alder,Alnus incana,alnuinca,no,non-invasive,introduced,,species,decidous,"Europe, Caucasus",T,0.6,0.79
318,amumak,Fabaceae,Maakia,Amur Maackia,Maackia amurensis,maacamur,no,non-invasive,introduced,,species,decidous,Asia,T,,
6,appcom,Rosaceae,Apple,Common Apple,Malus domestica,maludome,no,non-invasive,introduced,45,species,decidous,Europe and Western Asia,T,,
7,appcra,Rosaceae,Apple/Crabapple,Crabapple,Malus hybrids,maluhybr,n/a,non-invasive,introduced,30,species,decidous,Various,T,0.5,0.85
8,appspp,Rosaceae,Apple,Apple species,Malus spp,maluspp,n/a,n/a,n/a,,genus,decidous,,T,,
282,aprico,Rosaceae,Apricot,Apricot,Prunus armeniaca,prunarme,no,non-invasive,introduced,30,species,decidous,Europe,T,,
9,ashbla,Oleaceae,Ash,Black Ash,Fraxinus nigra,fraxnigr,yes,non-invasive,native,50,species,decidous,"Southeastern Ontario, Northeastern USA",T,0.57,0.84
10,ashblu,Oleaceae,Ash,Blue Ash,Fraxinus quadrangulata,fraxquad,no,non-invasive,introduced,20,species,decidous,"Michigan, Arkansas, Tennessee",T,0.6,0.84
11,asheur,Oleaceae,Ash,Europen Ash,Fraxinus excelsior,fraxexce,no,non-invasive,introduced,90,species,decidous,"Europe, SW Asia",T,0.6,0.85
12,ashgre,Oleaceae,Ash,Green Ash,Fraxinus pennsylvanica,fraxpenn,yes,non-invasive,native,50,species,decidous,Great Lakes-St. Lawrence and Acadian Forest region and the South-Western prairies,T,0.67,0.83
13,ashman,Oleaceae,Ash,Manchurian Ash,Fraxinus mandshurica,fraxmand,no,non-invasive,introduced,,species,decidous,,T,0.5,0.84
14,ashspp,Oleaceae,Ash,Ash species,Fraxinus spp,fraxspp,n/a,n/a,n/a,,genus,decidous,,T,,0.84
15,ashwhi,Oleaceae,Ash,White Ash,Fraxinus americana,fraxamer,yes,non-invasive,native,75,species,decidous,North-East US,T,0.72,0.84
16,asplar,Salicaceae,Poplar,Largetooth Aspen,Populus grandidentata,popugran,yes,non-invasive,native,45,species,decidous,"Quebec to Ontario, Eastern United States",T,0.35,0.8
17,asptre,Salicaceae,Poplar,Trembling Aspen,Populus tremuloides,poputrem,yes,non-invasive,native,45,species,decidous,North America: Across Canada and Southern US,T,0.48,0.74
18,basswo,Tiliaceae,Linden-Basswood,Basswood,Tilia americana,tiliamer,yes,non-invasive,native,60,species,decidous,Eastern North America,T,0.63,0.88
19,beeame,Fagaceae,Beech,American Beech,Fagus grandifolia,fagugran,yes,non-invasive,native,80,species,decidous,Eastern North America,T,0.7,0.88
20,beeblu,Betulaceae,Ironwood-Hornbeam,Blue Beech,Carpinus caroliniana,carpcaro,yes,non-invasive,native,15,species,decidous,Eastern U.S.A.,T,0.7,0.79
21,beeeur,Fagaceae,Beech,European Beech,Fagus sylvatica,fagusylv,no,non-invasive,introduced,100,species,decidous,Europe,T,0.83,0.88
22,beespp,Fagaceae,Beech,Beech species,Fagus spp,faguspp,n/a,n/a,n/a,,genus,decidous,,T,,0.88
312,birala,Betulaceae,Birch,Alaskan Birch,Betula neoalaskana,betuneoa,no,non-invasive,introduced,15,species,decidous,North America: Across Canada,T,,0.82
23,birche,Betulaceae,Birch,Cherry Birch,Betula lenta,betulent,yes,non-invasive,introduced,,species,decidous,Eastern U.S.A.,T,0.55,0.82
24,bireur,Betulaceae,Birch,European White Birch,Betula pendula,betupend,no,invasive,introduced,30,species,decidous,"Europe, SW Asia, N. Africa",T,0.5,0.82
25,birgra,Betulaceae,Birch,Gray Birch,Betula populifolia,betupopu,yes,non-invasive,native,15,species,decidous,SE Canada,T,0.55,0.82
26,birhim,Betulaceae,Birch,Whitebarked Himalayan,Betula  jacquemontii,betujacq,no,non-invasive,introduced,20,species,decidous,"NW Himalayas, Nepal",T,0.55,0.82
27,birriv,Betulaceae,Birch,River Birch,Betula occidentalis,betuocci,no,non-invasive,introduced,25,species,decidous,,T,0.7,0.82
28,birspp,Betulaceae,Birch,Birch species,Betula spp,betuspp,n/a,n/a,n/a,,genus,decidous,,T,,0.82
29,birwhi,Betulaceae,Birch,White Birch,Betula papyrifera,betupapy,yes,non-invasive,native,45,species,decidous,North America: Across Canada,T,0.5,0.82
30,biryel,Betulaceae,Birch,Yellow Birch,Betula alleghaniensis,betualle,yes,non-invasive,native,80,species,decidous,"SE Canada, NE U.S.A.",T,0.64,0.82
31,buceur,Rhamnaceae,Buckthorn,Alder Buckthorn,Rhamnus cathartica,rhamcath,no,invasive,introduced,15,species,decidous,"Europe, Western and Northern Asia",T,0.4,0.79
32,bucohi,Hippocastanaceae,Buckeye/Horsechestnut,Ohio Buckeye,Aesculus glabra,aescglab,yes,non-invasive,introduced,60,species,decidous,"Southern Tip of Ontario, USA",T,0.65,0.88
